id,name,lat,lon
1,Colombia,4.6097,-74.082
2,Ucrania,48.3794,31.1656
3,Venezuela,6.4238,-66.5897
4,Marruecos,31.7917,-7.0926
5,Perú,-9.19,-75.0152
6,Argentina,-34.6037,-58.3816
7,Honduras,14.8268,-86.435
8,Italia,41.9036,12.4539
9,Rumanía,45.9432,24.9668
10,Paraguay,-23.4425,-58.4438
11,Brasil,-10.7812,-53.0659
12,Reino Unido,51.5098,-0.118
13,Alemania,51.1657,10.4515
14,Nicaragua,12.8654,-85.2072
15,Ecuador,-1.8312,-78.1834
16,Cuba,21.5218,-77.7812
17,Francia,46.2276,2.2137
18,Rusia,61.524,105.3188
19,Pakistán,30.3753,69.3451
20,España,40.4168,-3.7038
