"";"row";"col";"code";"name"
"1";1;2;"15";"Coruña"
"2";1;7;"20";"Gipuzkoa"
"3";1;3;"27";"Lugo"
"4";1;4;"33";"Asturias"
"5";1;5;"39";"Cantabria"
"6";1;6;"48";"Bizkaia"
"7";2;6;"01";"Álava"
"8";2;10;"17";"Girona"
"9";2;8;"22";"Huesca"
"10";2;4;"24";"León"
"11";2;9;"25";"Lleida"
"12";2;7;"31";"Navarra"
"13";2;3;"32";"Ourense"
"14";2;5;"34";"Palencia"
"15";2;2;"36";"Pontevedra"
"16";3;10;"08";"Barcelona"
"17";3;6;"09";"Burgos"
"18";3;7;"26";"Rioja"
"19";3;8;"42";"Soria"
"20";3;5;"47";"Valladolid"
"21";3;4;"49";"Zamora"
"22";3;9;"50";"Zaragoza"
"23";4;5;"05";"Ávila"
"24";4;7;"19";"Guadalajara"
"25";4;4;"37";"Salamanca"
"26";4;6;"40";"Segovia"
"27";4;9;"43";"Tarragona"
"28";4;8;"44";"Teruel"
"29";5;4;"10";"Cáceres"
"30";5;9;"12";"Castellón"
"31";5;7;"16";"Cuenca"
"32";5;6;"28";"Madrid"
"33";5;5;"45";"Toledo"
"34";5;8;"46";"Valencia"
"35";4;11;"07";"Balears"
"36";6;7;"02";"Albacete"
"37";6;8;"03";"Alicante"
"38";6;4;"06";"Badajoz"
"39";6;6;"13";"Ciudad Real"
"40";6;5;"14";"Córdoba"
"41";7;7;"04";"Almería"
"42";7;4;"21";"Huelva"
"43";7;6;"23";"Jaén"
"44";7;8;"30";"Murcia"
"45";7;5;"41";"Sevilla"
"46";8;5;"11";"Cádiz"
"47";8;7;"18";"Granada"
"48";8;6;"29";"Málaga"
"49";9;3;"35";"Palmas"
"50";10;2;"38";"S.C. Tenerife"
"51";10;5;"51";"Ceuta"
"52";10;6;"52";"Melilla"
