name,mujer,hombre
Albacete,12.8,9.7
Alicante,17.6,13.2
Almería,20.9,12.2
Álava,7.4,8.2
Asturias,14.4,14.4
Ávila,15.3,9.2
Badajoz,23.6,14.7
Balears,11.7,10.2
Barcelona,10.3,10
Bizkaia,9.1,8.8
Burgos,8.9,6.1
Cáceres,18.1,13.2
Cádiz,28,22.5
Cantabria,12.8,8.1
Castellón,14.1,13.1
Ceuta,36.7,25.8
Ciudad Real,27,15.9
Córdoba,19.8,15.8
Coruña,10.6,9.7
Cuenca,11.4,5.3
Gipuzkoa,10.4,6.8
Girona,9.1,8.1
Granada,21.8,18
Guadalajara,11.5,9.6
Huelva,31.5,13
Huesca,10.5,7.6
Jaén,20.6,15.4
León,8.4,7.2
Lleida,10.2,8.8
Lugo,9.1,7.8
Málaga,13.5,9.6
Madrid,21.4,17.5
Melilla,27.3,15.6
Murcia,15.3,10.9
Navarra,10.6,9.7
Ourense,12.6,10.7
Palencia,8.8,8.3
Palmas,14.1,12.6
Pontevedra,13.1,10.4
Rioja,9.4,7.9
S.C. Tenerife,12,9.1
Salamanca,19.2,13.2
Segovia,8.5,6.2
Sevilla,18.1,14.3
Soria,6.6,9
Tarragona,10.2,9.4
Teruel,14.1,5.7
Toledo,20.8,10.9
Valencia,14.8,10
Valladolid,8.8,7.1
Zamora,16.6,11.9
Zaragoza,11.5,7.7
